,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_hidden_layer_sizes,param_max_iter,param_random_state,params,split0_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,mean_train_score,std_train_score
485,2.6468400955200195,0.0,0.010138988494873047,0.0,10.0,"(8,)",100,1,"{'alpha': 10.0, 'hidden_layer_sizes': (8,), 'max_iter': 100, 'random_state': 1}",0.33666666666666667,0.33666666666666667,0.0,749,0.36041666666666666,0.36041666666666666,0.0
489,2.4023282527923584,0.0,0.002774953842163086,0.0,10.0,"(8,)",1000,1,"{'alpha': 10.0, 'hidden_layer_sizes': (8,), 'max_iter': 1000, 'random_state': 1}",0.33666666666666667,0.33666666666666667,0.0,749,0.36041666666666666,0.36041666666666666,0.0
398,2.3725266456604004,0.0,0.011415243148803711,0.0,1.0,"(8,)",10000,2,"{'alpha': 1.0, 'hidden_layer_sizes': (8,), 'max_iter': 10000, 'random_state': 2}",0.3333333333333333,0.3333333333333333,0.0,752,0.3329166666666667,0.3329166666666667,0.0
302,2.141185998916626,0.0,0.004008054733276367,0.0,0.1,"(8,)",10000,2,"{'alpha': 0.1, 'hidden_layer_sizes': (8,), 'max_iter': 10000, 'random_state': 2}",0.3333333333333333,0.3333333333333333,0.0,752,0.33270833333333333,0.33270833333333333,0.0
390,2.8433001041412354,0.0,0.002513885498046875,0.0,1.0,"(8,)",100,2,"{'alpha': 1.0, 'hidden_layer_sizes': (8,), 'max_iter': 100, 'random_state': 2}",0.3333333333333333,0.3333333333333333,0.0,752,0.3329166666666667,0.3329166666666667,0.0
294,2.26328182220459,0.0,0.004337310791015625,0.0,0.1,"(8,)",100,2,"{'alpha': 0.1, 'hidden_layer_sizes': (8,), 'max_iter': 100, 'random_state': 2}",0.3333333333333333,0.3333333333333333,0.0,752,0.33270833333333333,0.33270833333333333,0.0
298,2.394850969314575,0.0,0.001750946044921875,0.0,0.1,"(8,)",1000,2,"{'alpha': 0.1, 'hidden_layer_sizes': (8,), 'max_iter': 1000, 'random_state': 2}",0.3333333333333333,0.3333333333333333,0.0,752,0.33270833333333333,0.33270833333333333,0.0
394,2.7067651748657227,0.0,0.0019338130950927734,0.0,1.0,"(8,)",1000,2,"{'alpha': 1.0, 'hidden_layer_sizes': (8,), 'max_iter': 1000, 'random_state': 2}",0.3333333333333333,0.3333333333333333,0.0,752,0.3329166666666667,0.3329166666666667,0.0
581,2.136245012283325,0.0,0.0018851757049560547,0.0,100.0,"(8,)",100,1,"{'alpha': 100.0, 'hidden_layer_sizes': (8,), 'max_iter': 100, 'random_state': 1}",0.33166666666666667,0.33166666666666667,0.0,758,0.32958333333333334,0.32958333333333334,0.0
202,3.7602601051330566,0.0,0.003145933151245117,0.0,0.01,"(8,)",1000,2,"{'alpha': 0.01, 'hidden_layer_sizes': (8,), 'max_iter': 1000, 'random_state': 2}",0.33,0.33,0.0,759,0.36166666666666664,0.36166666666666664,0.0
206,3.749904155731201,0.0,0.002942800521850586,0.0,0.01,"(8,)",10000,2,"{'alpha': 0.01, 'hidden_layer_sizes': (8,), 'max_iter': 10000, 'random_state': 2}",0.33,0.33,0.0,759,0.36166666666666664,0.36166666666666664,0.0
6,2.2011961936950684,0.0,0.0016639232635498047,0.0,0.0001,"(8,)",100,2,"{'alpha': 0.0001, 'hidden_layer_sizes': (8,), 'max_iter': 100, 'random_state': 2}",0.32666666666666666,0.32666666666666666,0.0,761,0.32479166666666665,0.32479166666666665,0.0
10,2.096127986907959,0.0,0.003895998001098633,0.0,0.0001,"(8,)",1000,2,"{'alpha': 0.0001, 'hidden_layer_sizes': (8,), 'max_iter': 1000, 'random_state': 2}",0.32666666666666666,0.32666666666666666,0.0,761,0.32479166666666665,0.32479166666666665,0.0
